timestamp,encoderR,encoderL
25582,0.06,-0.01
25592,0.06,0.03
25602,0.02,0.04
25612,0.08,0.03
25622,0.04,0.0
25632,0.05,0.03
25642,0.01,0.01
25652,0.03,0.0
25662,0.04,0.0
25672,0.04,-0.0
25682,0.04,-0.01
25696,0.06,0.03
25702,0.01,0.02
25712,0.04,-0.02
25722,0.03,0.01
25732,0.04,0.02
25742,0.03,0.01
25752,0.05,0.01
25762,-7.48,1.09
25772,-17.09,6.11
25782,-16.54,11.69
25796,-16.1,12.31
25802,2.95,14.23
25812,21.25,15.82
25822,41.18,18.66
25832,60.67,24.55
25842,77.59,34.62
25852,94.95,127.45
25862,120.63,143.96
25872,145.57,161.64
25882,176.23,183.74
25892,207.75,207.76
25902,244.71,230.47
25912,279.67,257.59
25922,326.52,286.63
25932,366.8,314.05
25942,409.41,344.87
25952,447.52,375.68
25962,489.06,482.83
25972,535.02,514.98
25982,579.22,544.5
25992,630.35,576.16
26002,684.38,605.68
26012,740.05,634.17
26022,795.07,664.12
26032,853.66,693.97
26042,899.4,720.0
26052,944.75,748.77
26062,981.11,856.19
26072,1022.48,890.19
26082,1068.82,925.22
26092,1115.89,955.56
26102,1160.17,989.27
26112,1211.82,1023.07
26122,1257.23,1056.53
26132,1301.2,1094.15
26142,1340.67,1207.58
26152,1382.21,1245.03
26162,1436.23,1282.39
26172,1486.56,1314.67
26182,1529.15,1352.27
26196,1573.56,1387.21
26202,1624.41,1426.34
26212,1674.86,1463.68
26222,1720.89,1576.32
26232,1782.7,1612.04
26242,1830.67,1647.01
26252,1883.02,1676.6
26262,1931.21,1709.96
26272,1982.87,1741.34
26282,2028.91,1775.72
26293,2073.2,1806.99
26302,2131.44,1841.4
26312,2190.25,1953.53
26322,2241.73,1987.67
26332,2301.75,2017.95
26342,2355.31,2049.63
26352,2411.43,2080.32
26362,2462.74,2114.68
26372,2527.0,2148.97
26382,2580.08,2179.4
26392,2637.42,2291.58
26402,2688.81,2324.95
26412,2746.83,2356.28
26422,2798.21,2387.99
26432,2868.9,2417.06
26442,2930.06,2449.54
26452,2999.46,2480.14
26462,3064.85,2508.51
26472,3133.16,2537.9
26482,3201.69,2647.24
26492,3272.38,2676.62
26502,3347.49,2706.99
26512,3418.55,2736.31
26522,3494.97,2760.86
26532,3570.1,2789.28
26542,3649.48,2815.17
26552,3719.72,2842.32
26562,3801.08,2869.31
26572,3879.59,2893.27
26582,3962.97,2917.89
26582,3962.97,2917.89
26592,4049.85,3021.35
26592,4049.85,3021.35
26602,4131.03,3043.5
26602,4131.03,3043.5
26612,4216.7,3067.45
26612,4216.7,3067.45
26622,4311.02,3090.45
26622,4311.02,3090.45
26632,4390.56,3111.1
26632,4390.56,3111.1
26642,4479.71,3136.01
26642,4479.71,3136.01
26652,4557.19,3162.58
26652,4557.19,3162.58
26662,4649.19,3186.94
26662,4649.19,3186.94
26672,4735.11,3214.74
26672,4735.11,3214.74
26682,4807.95,3243.86
26692,4886.1,3272.73
26702,4950.87,3385.34
26712,5029.08,3418.51
26722,5092.29,3454.8
26732,5162.25,3489.89
26742,5229.51,3523.97
26752,5299.38,3560.43
26762,5375.66,3596.14
26772,5439.16,3628.28
26782,5510.94,3743.07
26793,5580.62,3775.83
26802,5652.99,3809.96
26812,5726.0,3841.61
26822,5805.25,3871.29
26832,5874.04,3902.54
26842,5951.07,3933.48
26852,6016.36,3961.57
26862,6100.12,3990.85
26872,6181.02,4097.15
26882,6255.87,4127.09
26892,6340.09,4156.8
26902,6411.08,4182.57
26912,6502.5,4211.05
26922,6587.56,4240.65
26932,6670.55,4267.81
26942,6759.33,4294.96
26952,6848.59,4317.04
26962,6938.38,4338.59
26972,7028.63,4442.33
26982,7102.92,4465.41
26992,7188.87,4487.78
27002,7264.98,4510.27
27012,7349.36,4533.82
27022,7424.22,4554.46
27032,7503.34,4578.06
27042,7593.95,4602.84
27052,7666.85,4625.91
27062,7750.61,4652.71
27072,7821.36,4679.86
27082,7903.6,4707.28
27093,7972.61,4818.25
27102,8045.85,4848.73
27112,8117.36,4883.91
27122,8176.6,4917.98
27132,8246.74,4951.77
27142,8306.38,4989.89
27152,8371.55,5028.0
27162,8431.66,5061.47
27172,8495.75,5177.22
27182,8550.0,5212.17
27192,8615.65,5252.52
27202,8669.02,5290.09
27212,8727.85,5326.9
27222,8781.65,5367.17
27232,8841.93,5403.93
27242,8891.51,5522.33
27252,8939.97,5561.93
27262,9002.91,5598.61
27272,9059.74,5635.49
27282,9110.72,5669.83
27292,9167.04,5708.99
27302,9216.77,5748.6
27312,9267.48,5784.03
27322,9319.55,5903.13
27332,9373.48,5940.5
27342,9423.13,5979.05
27352,9479.88,6016.42
27362,9531.63,6052.14
27372,9584.63,6090.72
27382,9630.25,6125.6
27392,9688.66,6242.33
27402,9734.89,6280.27
27412,9788.37,6317.03
27422,9834.7,6353.56
27432,9886.42,6389.1
27442,9933.86,6428.79
27452,9984.21,6468.76
27462,10038.36,6504.06
27472,10092.41,6620.17
27482,10139.92,6657.26
27492,10192.64,6691.14
27503,10239.96,6724.99
27512,10289.56,6758.18
27522,10332.38,6796.3
27532,10379.63,6834.85
27542,10429.68,6870.59
27552,10481.58,6988.97
27562,10528.22,7025.6
27572,10581.57,7062.97
27582,10631.93,7099.23
27592,10687.12,7133.7
27602,10742.83,7170.78
27612,10812.63,7205.69
27622,10867.64,7234.95
27632,10929.57,7344.52
27642,10989.52,7372.8
27652,11056.02,7403.98
27662,11126.21,7432.33
27672,11207.34,7459.16
27682,11285.11,7486.9
27692,11362.13,7514.22
27702,11431.13,7538.72
27712,11484.05,7562.92
27722,11527.77,7590.08
27732,11566.82,7696.94
27742,11610.64,7729.5
27752,11654.43,7759.99
27762,11704.16,7790.82
27772,11747.35,7822.48
27782,11792.34,7853.74
27792,11843.13,7888.3
27802,11896.87,7922.37
27812,11945.2,7953.7
27822,11999.04,8065.48
27832,12049.23,8095.2
27842,12106.57,8127.54
27852,12165.72,8156.44
27862,12237.15,8181.79
27872,12298.19,8210.89
27882,12375.48,8238.49
27892,12447.15,8261.85
27902,12514.16,8284.86
27912,12584.14,8308.06
27922,12650.21,8408.28
27932,12708.0,8434.7
27942,12773.21,8462.91
27952,12831.58,8489.34
27962,12898.77,8515.62
27972,12976.56,8543.01
27982,13042.99,8567.93
27992,13121.56,8594.97
28002,13190.46,8621.4
28012,13259.29,8644.38
28022,13351.15,8669.64
28032,13434.48,8769.86
28042,13519.46,8794.28
28052,13591.56,8819.13
28062,13682.95,8840.55
28072,13757.87,8861.13
28082,13843.45,8882.32
28093,13926.95,8902.13
28112,13983.09,8923.01
28116,13983.09,8923.01
28123,13983.09,8923.01
28139,13983.09,8923.01
28143,13983.09,8923.01
28155,13983.09,8923.01
28164,13983.09,8923.01
28179,13983.09,8923.01
28182,13983.09,8855.42
28193,13983.09,8860.37
28202,13984.12,8920.92
28212,14056.11,8951.84
28222,14118.63,8986.99
28232,14175.81,9018.81
28242,14241.78,9130.96
28252,14298.61,9163.73
28262,14367.3,9194.28
28272,14425.23,9225.93
28282,14463.37,9244.37
28293,14521.89,9272.7
28302,14615.95,9322.56
28312,14672.34,9353.04
28322,14747.24,9384.5
28332,14821.91,9495.44
28342,14892.28,9524.47
28352,14971.12,9554.07
28362,15039.17,9582.21
28372,15124.21,9607.27
28382,15193.02,9636.94
28392,15270.07,9665.74
28402,15341.91,9692.4
28412,15416.18,9721.64
28422,15502.35,9747.99
28432,15572.28,9856.61
28442,15650.1,9887.23
28452,15718.32,9916.2
28462,15784.82,9945.94
28472,15873.38,9975.54
28482,15959.33,10003.82
28492,16047.59,10032.67
28502,16121.33,10060.3
28512,16217.13,10084.79
28522,16295.82,10110.75
28532,16382.37,10212.89
28543,16468.12,10237.66
28552,16551.96,10262.93
28562,16635.25,10287.78
28572,16710.93,10313.44
28582,16793.75,10340.02
28592,16863.87,10366.24
28602,16948.54,10395.74
28612,17029.57,10426.09
28622,17101.57,10453.9
28632,17178.96,10563.94
28642,17254.09,10597.11
28652,17330.57,10626.64
28662,17395.61,10659.04
28672,17467.96,10689.47
28682,17535.42,10726.29
28692,17601.15,10763.89
28702,17666.29,10798.52
28712,17724.69,10835.6
28722,17790.39,10949.33
28732,17847.13,10988.21
28742,17904.92,11025.87
28752,17963.42,11061.24
28762,18020.69,11101.86
28772,18073.72,11142.57
28782,18133.38,11178.68
28794,18175.79,11286.0
28802,18244.62,11330.66
28812,18292.13,11368.04
28822,18354.05,11404.45
28832,18403.09,11440.51
28842,18458.51,11480.32
28852,18508.44,11517.58
28862,18562.39,11557.17
28872,18610.16,11676.28
28882,18661.88,11712.54
28893,18712.22,11743.52
28902,18772.88,11783.71
28912,18821.07,11821.5
28922,18875.5,11858.96
28932,18922.29,11892.31
28942,18971.36,12006.62
28952,19015.92,12044.13
28962,19073.21,12080.19
28972,19121.14,12116.53
28982,19176.83,12151.69
28982,19176.83,12151.69
28992,19229.79,12189.7
28992,19229.79,12189.7
29002,19293.0,12226.91
29002,19293.0,12226.91
29012,19349.23,12258.63
29012,19349.23,12258.63
29022,19425.15,12371.57
29032,19479.22,12400.88
29042,19527.86,12431.44
29052,19571.11,12462.16
29062,19616.72,12492.28
29072,19657.59,12528.89
29082,19705.0,12565.79
29092,19743.34,12601.09
29102,19801.74,12640.45
29112,19845.88,12755.52
29122,19895.72,12795.36
29132,19940.27,12831.37
29142,19994.03,12864.88
29152,20040.55,12901.34
29162,20088.06,12934.71
29172,20139.29,12970.1
29182,20189.45,13082.76
29192,20232.8,13113.87
29202,20283.69,13149.65
29212,20329.9,13184.54
29222,20381.39,13216.47
29232,20428.28,13252.86
29242,20489.94,13285.3
29252,20540.79,13319.69
29262,20599.54,13352.88
29272,20650.95,13460.65
29282,20708.92,13493.4
29292,20756.76,13527.13
29302,20806.95,13555.96
29312,20864.77,13589.35
29322,20924.43,13620.11
29332,20977.36,13653.98
29342,21037.47,13688.08
29352,21089.48,13719.7
29362,21145.53,13834.21
29372,21204.78,13869.65
29382,21267.41,13899.87
29392,21322.17,13930.57
29402,21390.06,13960.56
29412,21451.38,13992.54
29422,21515.39,14023.45
29432,21585.1,14050.76
29442,21656.93,14079.64
29452,21729.05,14186.84
29462,21793.42,14214.58
29472,21860.44,14245.34
29482,21930.54,14273.77
29492,22009.28,14300.07
29502,22080.34,14329.79
29512,22162.58,14356.68
29522,22234.69,14385.04
29532,22325.22,14412.72
29542,22411.75,14436.92
29552,22492.01,14540.45
29562,22580.2,14565.5
29572,22666.07,14583.8
